"","yrs","total","category"
"314",1977-01-01,226,"geog"
"315",1976-01-01,212,"geog"
"316",1975-01-01,213,"geog"
"317",1974-01-01,227,"geog"
"318",1973-01-01,253,"geog"
"319",1972-01-01,199,"geog"
"320",1971-01-01,226,"geog"
"321",1970-01-01,176,"geog"
"322",1969-01-01,149,"geog"
"323",1968-01-01,140,"geog"
"324",1967-01-01,83,"geog"
"325",1966-01-01,52,"geog"
"326",1965-01-01,47,"geog"
"327",1964-01-01,61,"geog"
"328",1963-01-01,42,"geog"
"329",1962-01-01,12,"geog"
"330",1961-01-01,13,"geog"
"331",1960-01-01,24,"geog"
"332",1959-01-01,21,"geog"
"333",1958-01-01,27,"geog"
"334",1957-01-01,10,"geog"
"335",1956-01-01,8,"geog"
"336",1955-01-01,14,"geog"
"337",1954-01-01,9,"geog"
"338",1953-01-01,21,"geog"
"339",1952-01-01,19,"geog"
"340",1951-01-01,15,"geog"
"341",1950-01-01,18,"geog"
"342",1949-01-01,4,"geog"
"343",1948-01-01,11,"geog"
"344",1947-01-01,33,"geog"
"345",1946-01-01,46,"geog"
"346",1945-01-01,17,"geog"
"347",1943-01-01,1,"geog"
"348",1942-01-01,1,"geog"
"349",1941-01-01,2,"geog"
"350",1940-01-01,1,"geog"
"351",1939-01-01,3,"geog"
"352",1938-01-01,3,"geog"
"353",1937-01-01,2,"geog"
"354",1936-01-01,1,"geog"
"355",1935-01-01,3,"geog"
"356",1934-01-01,2,"geog"
"357",1933-01-01,7,"geog"
"358",1932-01-01,2,"geog"
"359",1931-01-01,1,"geog"
"360",1930-01-01,2,"geog"
"361",1929-01-01,3,"geog"
"362",1926-01-01,1,"geog"
"363",1925-01-01,2,"geog"
"364",1924-01-01,3,"geog"
"365",1923-01-01,2,"geog"
"366",1922-01-01,4,"geog"
"367",1921-01-01,1,"geog"
"368",1920-01-01,3,"geog"
"369",1919-01-01,2,"geog"
"370",1918-01-01,4,"geog"
"371",1917-01-01,3,"geog"
"372",1916-01-01,5,"geog"
"373",1915-01-01,3,"geog"
"374",1913-01-01,1,"geog"
"375",1910-01-01,2,"geog"
"376",1909-01-01,2,"geog"
"377",1908-01-01,2,"geog"
"378",1907-01-01,4,"geog"
"379",1906-01-01,4,"geog"
"380",1905-01-01,2,"geog"
"381",1904-01-01,2,"geog"
"382",1903-01-01,4,"geog"
"383",1901-01-01,5,"geog"
"384",1900-01-01,1,"geog"
"385",1899-01-01,4,"geog"
"386",1898-01-01,4,"geog"
"387",1897-01-01,5,"geog"
"388",1896-01-01,1,"geog"
"389",1895-01-01,3,"geog"
"390",1894-01-01,1,"geog"
"391",1889-01-01,4,"geog"
"392",1888-01-01,5,"geog"
"393",1887-01-01,9,"geog"
"394",1886-01-01,3,"geog"
"395",1885-01-01,2,"geog"
"396",1878-01-01,1,"geog"
"397",1876-01-01,1,"geog"
"398",1871-01-01,1,"geog"
"399",1865-01-01,1,"geog"
"400",1864-01-01,2,"geog"
"401",1863-01-01,1,"geog"
"402",1858-01-01,1,"geog"
"403",1857-01-01,2,"geog"
"404",1850-01-01,2,"geog"
"405",1799-01-01,1,"geog"
"406",2024-01-01,16,"Hgeog"
"407",2023-01-01,28,"Hgeog"
"408",2022-01-01,32,"Hgeog"
"409",2021-01-01,55,"Hgeog"
"410",2020-01-01,38,"Hgeog"
"411",2019-01-01,30,"Hgeog"
"412",2018-01-01,31,"Hgeog"
"413",2017-01-01,23,"Hgeog"
"414",2016-01-01,19,"Hgeog"
"415",2015-01-01,14,"Hgeog"
"416",2014-01-01,16,"Hgeog"
"417",2013-01-01,7,"Hgeog"
"418",2012-01-01,5,"Hgeog"
"419",2011-01-01,8,"Hgeog"
"420",2010-01-01,8,"Hgeog"
"421",2009-01-01,2,"Hgeog"
"422",2008-01-01,2,"Hgeog"
"423",2007-01-01,5,"Hgeog"
"424",2006-01-01,1,"Hgeog"
"425",2005-01-01,7,"Hgeog"
"426",2004-01-01,3,"Hgeog"
"427",2003-01-01,3,"Hgeog"
"428",2002-01-01,3,"Hgeog"
"429",2001-01-01,2,"Hgeog"
